职位,城市,经验,学历,工资水平
实习,苏州,在校生\/应届生,本科,3500.0
开发工程师,上海,在校生\/应届生,大专,7000.0
其他,长沙,3-4年经验,本科,10500.0
其他,广州,3-4年经验,本科,12000.0
开发工程师,合肥,3-4年经验,本科,14000.0
开发工程师,上海,1年经验,本科,12500.0
开发工程师,南京,1年经验,大专,7000.0
其他,佛山,本科,本科,17500.0
讲师,昆明,招若干人,,5500.0
开发工程师,北京,5-7年经验,大专,12500.0
其他,重庆,1年经验,本科,11500.0
其他,异地招聘,2年经验,大专,9000.0
开发工程师,武汉,2年经验,本科,11500.0
讲师,西安,在校生\/应届生,本科,10000.0
其他,北京,3-4年经验,本科,12500.0
开发工程师,南京,3-4年经验,本科,15000.0
开发工程师,贵阳,1年经验,大专,9000.0
测试,武汉,3-4年经验,本科,11500.0
开发工程师,深圳,3-4年经验,大专,14000.0
讲师,广州,1年经验,大专,6500.0
开发工程师,上海,3-4年经验,本科,20000.0
其他,杭州,5-7年经验,本科,22500.0
其他,佛山,2年经验,大专,7500.0
开发工程师,广州,2年经验,本科,12500.0
开发工程师,成都,2年经验,大专,11500.0
开发工程师,武汉,在校生\/应届生,本科,14000.0
开发工程师,长沙,2年经验,本科,12500.0
开发工程师,上海,3-4年经验,本科,15000.0
其他,上海,3-4年经验,本科,20000.0
开发工程师,深圳,5-7年经验,本科,22500.0
实习,成都,无需经验,大专,5250.0
开发工程师,成都,5-7年经验,本科,15000.0
开发工程师,武汉,3-4年经验,本科,12500.0
开发工程师,上海,3-4年经验,本科,12500.0
开发工程师,广州,2年经验,大专,12500.0
其他,合肥,在校生\/应届生,大专,10000.0
实习,深圳,无需经验,大专,8000.0
数据分析,深圳,3-4年经验,本科,13000.0
开发工程师,无锡,1年经验,本科,7000.0
其他,广州,2年经验,本科,14500.0
开发工程师,上海,5-7年经验,本科,22500.0
开发工程师,长沙,3-4年经验,大专,7000.0
其他,太原,1年经验,本科,4500.0
开发工程师,北京,1年经验,本科,12500.0
开发工程师,广州,2年经验,本科,10000.0
其他,合肥,8-9年经验,本科,33333.33333333333
开发工程师,上海,5-7年经验,本科,24000.0
其他,深圳,3-4年经验,大专,12500.0
开发工程师,广州,2年经验,本科,12000.0
其他,深圳,无需经验,本科,18500.0
其他,上海,3-4年经验,本科,14000.0
开发工程师,北京,1年经验,本科,10500.0
开发工程师,深圳,3-4年经验,本科,22500.0
开发工程师,上海,3-4年经验,本科,20000.0
开发工程师,北京,3-4年经验,本科,17500.0
开发工程师,广州,在校生\/应届生,本科,12500.0
开发工程师,南宁,1年经验,大专,7000.0
开发工程师,异地招聘,2年经验,大专,11500.0
其他,武汉,招1人,,15000.0
其他,南京,本科,本科,
开发工程师,上海,2年经验,大专,12500.0
开发工程师,上海,3-4年经验,本科,25000.0
开发工程师,上海,3-4年经验,本科,20000.0
开发工程师,合肥,2年经验,本科,11500.0
开发工程师,广州,2年经验,本科,15000.0
开发工程师,北京,2年经验,本科,8000.0
开发工程师,常州,2年经验,本科,9500.0
开发工程师,成都,本科,本科,6000.0
其他,长沙,本科,本科,
开发工程师,深圳,5-7年经验,本科,13500.0
其他,上海,1年经验,本科,9500.0
开发工程师,上海,3-4年经验,本科,15000.0
讲师,上海,5-7年经验,本科,30000.0
实习,广州,在校生\/应届生,大专,7000.0
其他,青岛,3-4年经验,本科,13000.0
其他,上海,3-4年经验,本科,15000.0
其他,上海,3-4年经验,大专,17500.0
实习,成都,1年经验,大专,5250.0
开发工程师,重庆,在校生\/应届生,本科,9500.0
开发工程师,成都,3-4年经验,本科,12500.0
开发工程师,深圳,大专,大专,5250.0
其他,杭州,3-4年经验,本科,10500.0
其他,北京,3-4年经验,本科,17500.0
开发工程师,上海,2年经验,大专,12500.0
开发工程师,南京,本科,本科,
开发工程师,上海,5-7年经验,大专,20000.0
开发工程师,北京,3-4年经验,本科,16000.0
开发工程师,重庆,2年经验,大专,7500.0
其他,广州,3-4年经验,本科,15000.0
开发工程师,北京,本科,本科,
开发工程师,广州,本科,本科,
其他,武汉,2年经验,本科,12500.0
其他,北京,本科,本科,12500.0
开发工程师,深圳,2年经验,本科,12000.0
开发工程师,深圳,2年经验,本科,15000.0
开发工程师,上海,5-7年经验,本科,25000.0
开发工程师,上海,3-4年经验,大专,15500.0
开发工程师,苏州,2年经验,大专,10500.0
开发工程师,成都,3-4年经验,本科,12500.0
开发工程师,异地招聘,2年经验,大专,20000.0
开发工程师,武汉,3-4年经验,本科,12500.0
开发工程师,深圳,2年经验,本科,12000.0
开发工程师,上海,2年经验,大专,9000.0
开发工程师,苏州,1年经验,本科,17500.0
其他,上海,2年经验,本科,17500.0
开发工程师,异地招聘,3-4年经验,本科,12500.0
开发工程师,北京,5-7年经验,本科,11000.0
其他,上海,3-4年经验,硕士,20000.0
其他,深圳,2年经验,大专,13500.0
开发工程师,深圳,2年经验,本科,15500.0
讲师,台州,无需经验,大专,6500.0
开发工程师,广州,1年经验,本科,10000.0
其他,上海,2年经验,本科,17500.0
其他,杭州,8-9年经验,硕士,45000.0
开发工程师,广州,3-4年经验,本科,14000.0
开发工程师,深圳,3-4年经验,大专,15500.0
其他,上海,2年经验,本科,15500.0
其他,厦门,无需经验,本科,8000.0
开发工程师,广州,1年经验,大专,8000.0
开发工程师,重庆,2年经验,本科,9000.0
开发工程师,上海,5-7年经验,本科,20000.0
其他,深圳,在校生\/应届生,大专,7000.0
开发工程师,南京,招3人,,14000.0
其他,北京,2年经验,大专,12500.0
实习,成都,1年经验,大专,3750.0
开发工程师,上海,5-7年经验,大专,17500.0
其他,深圳,3-4年经验,本科,17500.0
其他,上海,3-4年经验,大专,17500.0
其他,深圳,2年经验,大专,22500.0
讲师,无锡,1年经验,本科,9000.0
其他,苏州,1年经验,大专,6250.0
开发工程师,上海,2年经验,本科,20000.0
开发工程师,北京,在校生\/应届生,大专,9000.0
其他,苏州,2年经验,本科,15000.0
开发工程师,杭州,3-4年经验,本科,26500.0
其他,南京,3-4年经验,本科,11000.0
数据分析,异地招聘,1年经验,本科,10500.0
开发工程师,西安,3-4年经验,本科,12500.0
运维,东莞,1年经验,大专,8000.0
实习,南京,在校生\/应届生,大专,3750.0
其他,上海,2年经验,本科,32500.0
开发工程师,杭州,3-4年经验,本科,12500.0
开发工程师,武汉,3-4年经验,本科,12500.0
开发工程师,深圳,2年经验,本科,13500.0
开发工程师,上海,3-4年经验,本科,19000.0
开发工程师,上海,3-4年经验,本科,24000.0
开发工程师,南昌,3-4年经验,大专,12500.0
开发工程师,上海,在校生\/应届生,大专,9500.0
开发工程师,成都,2年经验,大专,15000.0
其他,成都,无需经验,硕士,20833.333333333336
开发工程师,南京,3-4年经验,本科,14000.0
开发工程师,上海,3-4年经验,本科,20000.0
其他,广州,1年经验,大专,7000.0
其他,广州,2年经验,本科,17500.0
开发工程师,深圳,3-4年经验,本科,14000.0
开发工程师,上海,1年经验,大专,12500.0
开发工程师,深圳,1年经验,本科,11500.0
开发工程师,上海,3-4年经验,本科,22500.0
其他,异地招聘,1年经验,本科,6500.0
开发工程师,天津,3-4年经验,本科,9000.0
开发工程师,广州,1年经验,本科,10000.0
开发工程师,深圳,3-4年经验,本科,17500.0
其他,深圳,2年经验,本科,11500.0
其他,上海,无需经验,本科,
开发工程师,广州,2年经验,本科,11000.0
开发工程师,北京,3-4年经验,本科,12500.0
开发工程师,长沙,1年经验,本科,12500.0
其他,北京,3-4年经验,本科,22500.0
开发工程师,上海,3-4年经验,本科,20000.0
其他,上海,3-4年经验,本科,18500.0
开发工程师,西安,2年经验,本科,15000.0
其他,广州,1年经验,高中,5500.0
开发工程师,南京,在校生\/应届生,大专,5250.0
开发工程师,上海,3-4年经验,本科,22500.0
开发工程师,深圳,3-4年经验,大专,12500.0
其他,深圳,5-7年经验,本科,17500.0
开发工程师,南京,1年经验,本科,12500.0
开发工程师,深圳,3-4年经验,大专,15000.0
开发工程师,上海,3-4年经验,大专,17500.0
开发工程师,沈阳,无需经验,大专,6250.0
开发工程师,济南,无需经验,本科,10500.0
开发工程师,武汉,3-4年经验,硕士,12500.0
开发工程师,上海,3-4年经验,本科,15000.0
其他,广州,招1人,,14000.0
开发工程师,珠海,3-4年经验,,20000.0
开发工程师,深圳,2年经验,本科,14000.0
开发工程师,上海,3-4年经验,本科,12000.0
开发工程师,深圳,5-7年经验,大专,17500.0
开发工程师,上海,3-4年经验,本科,12500.0
开发工程师,成都,3-4年经验,本科,17500.0
开发工程师,长沙,3-4年经验,本科,10000.0
开发工程师,苏州,2年经验,本科,12500.0
实习,杭州,在校生\/应届生,本科,
其他,重庆,3-4年经验,本科,9000.0
其他,上海,5-7年经验,本科,22500.0
开发工程师,大连,3-4年经验,大专,10500.0
开发工程师,上海,3-4年经验,本科,9000.0
开发工程师,北京,3-4年经验,本科,22500.0
其他,武汉,1年经验,本科,8000.0
讲师,广州,2年经验,大专,8500.0
其他,上海,3-4年经验,本科,22500.0
其他,深圳,1年经验,本科,12500.0
开发工程师,深圳,3-4年经验,本科,12500.0
开发工程师,深圳,3-4年经验,本科,14000.0
开发工程师,北京,3-4年经验,本科,17500.0
开发工程师,广州,3-4年经验,本科,17500.0
开发工程师,深圳,5-7年经验,本科,22500.0
开发工程师,上海,2年经验,大专,17500.0
开发工程师,北京,1年经验,本科,8500.0
开发工程师,上海,3-4年经验,本科,18000.0
其他,武汉,3-4年经验,大专,10000.0
开发工程师,上海,3-4年经验,本科,20000.0
开发工程师,西安,3-4年经验,本科,12500.0
其他,东莞,1年经验,本科,12500.0
其他,广州,本科,本科,11500.0
开发工程师,南京,2年经验,大专,11500.0
开发工程师,深圳,3-4年经验,本科,12500.0
开发工程师,广州,3-4年经验,本科,10000.0
开发工程师,成都,3-4年经验,本科,9000.0
开发工程师,成都,3-4年经验,本科,18500.0
其他,成都,3-4年经验,本科,12000.0
开发工程师,广州,3-4年经验,大专,9000.0
开发工程师,上海,3-4年经验,本科,
实习,南京,无需经验,高中,5250.0
开发工程师,成都,8-9年经验,大专,17500.0
开发工程师,大连,5-7年经验,大专,15000.0
其他,苏州,无需经验,硕士,16500.0
开发工程师,南昌,1年经验,大专,5250.0
开发工程师,北京,3-4年经验,本科,17500.0
其他,深圳,3-4年经验,本科,37500.0
开发工程师,北京,无需经验,大专,30000.0
开发工程师,深圳,2年经验,本科,8500.0
其他,杭州,3-4年经验,本科,20000.0
其他,上海,在校生\/应届生,大专,7000.0
开发工程师,深圳,3-4年经验,本科,20000.0
开发工程师,北京,在校生\/应届生,大专,9000.0
开发工程师,广州,3-4年经验,本科,15000.0
其他,上海,1年经验,大专,7000.0
其他,杭州,3-4年经验,本科,15000.0
开发工程师,佛山,2年经验,本科,7750.0
开发工程师,福州,2年经验,本科,8000.0
其他,深圳,3-4年经验,本科,17500.0
其他,上海,2年经验,本科,12500.0
开发工程师,济南,3-4年经验,大专,12000.0
开发工程师,成都,2年经验,大专,9000.0
开发工程师,武汉,3-4年经验,本科,12500.0
开发工程师,武汉,1年经验,本科,5250.0
开发工程师,上海,3-4年经验,大专,17500.0
开发工程师,上海,3-4年经验,本科,20000.0
算法,上海,1年经验,本科,15000.0
其他,北京,3-4年经验,大专,12500.0
开发工程师,深圳,2年经验,,12500.0
其他,异地招聘,1年经验,本科,7500.0
开发工程师,深圳,5-7年经验,本科,19500.0
其他,石家庄,3-4年经验,大专,8000.0
开发工程师,杭州,在校生\/应届生,本科,27083.333333333332
其他,深圳,5-7年经验,大专,20000.0
其他,上海,3-4年经验,本科,12500.0
开发工程师,武汉,1年经验,大专,7500.0
开发工程师,武汉,5-7年经验,本科,17500.0
开发工程师,广州,3-4年经验,大专,10500.0
开发工程师,温州,1年经验,本科,6250.0
开发工程师,合肥,3-4年经验,本科,10000.0
开发工程师,深圳,3-4年经验,本科,16000.0
开发工程师,广州,3-4年经验,大专,12500.0
开发工程师,深圳,2年经验,本科,13500.0
开发工程师,广州,3-4年经验,大专,12500.0
实习,青岛,在校生\/应届生,大专,5250.0
开发工程师,深圳,3-4年经验,本科,15000.0
开发工程师,深圳,3-4年经验,本科,11500.0
开发工程师,深圳,3-4年经验,本科,17500.0
开发工程师,北京,3-4年经验,本科,12500.0
其他,三门峡,1年经验,大专,5250.0
开发工程师,异地招聘,3-4年经验,本科,9000.0
开发工程师,长沙,3-4年经验,本科,7500.0
实习,广州,在校生\/应届生,大专,7000.0
开发工程师,沈阳,3-4年经验,本科,12500.0
开发工程师,杭州,2年经验,大专,16000.0
其他,大连,无需经验,本科,14000.0
数据分析,海口,3-4年经验,本科,11500.0
数据分析,大连,5-7年经验,大专,25000.0
开发工程师,深圳,3-4年经验,本科,15000.0
实习,青岛,在校生\/应届生,大专,5250.0
数据分析,杭州,2年经验,本科,10500.0
开发工程师,北京,2年经验,本科,12500.0
开发工程师,深圳,3-4年经验,本科,20000.0
开发工程师,郑州,无需经验,,5250.0
开发工程师,异地招聘,2年经验,,15000.0
开发工程师,南宁,2年经验,本科,5250.0
开发工程师,广州,2年经验,本科,11500.0
其他,广州,2年经验,本科,15000.0
讲师,宁波,在校生\/应届生,本科,7000.0
开发工程师,广州,1年经验,本科,8000.0
开发工程师,上海,3-4年经验,大专,11500.0
开发工程师,苏州,3-4年经验,本科,13500.0
开发工程师,成都,3-4年经验,本科,8000.0
其他,南京,5-7年经验,本科,15000.0
讲师,昆明,2年经验,本科,7000.0
其他,武汉,2年经验,大专,9000.0
开发工程师,武汉,2年经验,本科,12500.0
开发工程师,上海,2年经验,本科,12500.0
开发工程师,广州,1年经验,大专,10000.0
开发工程师,天津,3-4年经验,本科,7000.0
开发工程师,重庆,3-4年经验,大专,9000.0
开发工程师,上海,3-4年经验,本科,12500.0
开发工程师,苏州,在校生\/应届生,本科,8000.0
开发工程师,合肥,3-4年经验,本科,12500.0
开发工程师,上海,3-4年经验,本科,17500.0
开发工程师,上海,1年经验,本科,7500.0
其他,上海,3-4年经验,本科,16000.0
开发工程师,武汉,招若干人,,7000.0
其他,西安,3-4年经验,本科,9000.0
开发工程师,深圳,3-4年经验,大专,27500.0
其他,杭州,2年经验,大专,14500.0
其他,西安,1年经验,大专,6000.0
